Date,Open,High,Low,Close,Volume,Adj Close
2010-04-12,128.570007,132.169998,127.839996,130.630005,7065700,116.56028
2010-04-05,128.380005,129.800003,127.120003,128.759995,4878800,114.891685
2010-03-29,129.300003,129.949997,127.550003,128.25,4488700,114.436623
2010-03-22,127.110001,130.729996,126.57,129.259995,6290700,115.33783
2010-03-15,127.400002,128.929993,126.779999,127.709999,6535900,113.954781
2010-03-08,127.059998,128.369995,125.199997,127.940002,6747200,114.160011
2010-03-01,127.50,129.089996,125.470001,127.25,5830700,113.544327
2010-02-22,127.300003,128.270004,125.57,127.160004,4724900,113.464027
2010-02-16,124.910004,128.059998,124.110001,127.190002,6108400,113.490791
2010-02-08,123.150002,124.199997,121.610001,124.00,6017700,110.644371
2010-02-01,123.230003,126.07,121.830002,123.519997,7012700,109.725311
2010-01-25,126.330002,127.75,121.900002,122.389999,8557200,108.721512
2010-01-19,131.630005,134.25,125.370003,125.50,12202700,111.484184
2010-01-11,131.059998,132.889999,128.669998,131.779999,7174700,117.062836
2010-01-04,131.179993,132.970001,128.910004,130.850006,5727900,116.236702
2009-12-28,130.990005,132.850006,130.679993,130.899994,4518700,116.281113
2009-12-21,127.800003,130.570007,127.68,130.570007,4675100,115.987976
2009-12-14,129.649994,129.979996,127.00,127.910004,6890500,113.625038
2009-12-07,126.879997,129.770004,126.110001,129.679993,5848500,115.197357
2009-11-30,125.120003,128.899994,124.919998,127.25,6061500,113.03875
2009-11-23,127.699997,128.940002,124.260002,125.699997,4776700,111.66185
2009-11-16,127.169998,128.649994,126.459999,126.959999,4696500,112.781136
2009-11-09,123.919998,127.800003,123.489998,127.029999,6213000,112.843315
2009-11-02,120.769997,123.50,119.50,123.489998,6158100,109.698662
2009-10-26,120.610001,123.25,119.150002,120.610001,7757000,106.661606
2009-10-19,121.760002,124.110001,120.00,120.360001,7258400,106.440514
2009-10-12,125.440002,128.610001,121.25,121.639999,11195700,107.572487
2009-10-05,118.900002,126.00,118.129997,125.93,7565100,111.366356
2009-09-28,120.519997,122.00,117.260002,119.019997,7476000,105.255486
2009-09-21,121.029999,122.739998,120.099998,121.080002,5246500,107.077248
2009-09-14,117.00,122.879997,116.940002,122.110001,8171900,107.988129
2009-09-08,117.940002,119.25,116.160004,118.050003,5457100,104.397667
2009-08-31,117.099998,118.93,115.150002,117.459999,5061900,103.8759
2009-08-24,119.919998,120.879997,117.510002,118.220001,5224700,104.548004
2009-08-17,116.690002,120.010002,116.120003,119.900002,5524400,106.033714
2009-08-10,118.169998,119.959999,117.32,118.57,5080200,104.857529
2009-08-03,118.879997,119.959999,116.699997,119.330002,5578700,105.52964
2009-07-27,116.949997,119.370003,116.050003,117.93,5617100,103.807365
2009-07-20,114.529999,118.150002,114.389999,117.639999,8504000,103.552094
2009-07-13,101.279999,115.529999,100.190002,115.419998,11758700,101.597946
2009-07-06,101.57,102.779999,99.50,100.830002,6841600,88.755165
2009-06-29,105.989998,106.269997,101.730003,101.730003,6189600,89.547394
2009-06-22,105.18,106.790001,103.510002,105.68,6174300,93.024361
2009-06-15,107.629997,109.139999,105.50,105.889999,8586100,93.209206
2009-06-08,106.639999,110.639999,105.50,108.209999,7782600,95.251381
2009-06-01,106.940002,108.800003,105.110001,107.239998,7118400,94.397537
2009-05-26,101.32,106.50,101.019997,106.279999,6832500,93.552505
2009-05-18,102.00,106.120003,101.739998,101.889999,6919900,89.688225
2009-05-11,101.089996,104.379997,100.57,101.370003,8445800,89.230499
2009-05-04,105.260002,106.82,99.830002,101.489998,8538300,89.336128
2009-04-27,99.610001,106.050003,99.25,104.610001,9278800,91.604034
2009-04-20,100.290001,103.860001,98.199997,100.080002,11893800,87.637245
2009-04-13,100.279999,102.040001,96.440002,101.269997,8342300,88.679283
2009-04-06,100.900002,102.449997,98.519997,101.699997,8221700,89.055824
2009-03-30,92.00,102.660004,91.800003,102.220001,12982500,89.511177
2009-03-23,93.699997,99.860001,92.75,94.150002,12190100,82.444504
2009-03-16,91.650002,95.00,89.410004,92.510002,12666100,81.008408
2009-03-09,84.699997,90.650002,83.019997,90.360001,12366300,79.12571
2009-03-02,91.169998,91.900002,83.809998,85.809998,14896700,75.141403
2009-02-23,89.300003,93.279999,82.849998,92.029999,15561100,80.588081
2009-02-17,91.730003,92.489998,87.339996,88.790001,10604800,77.750908
2009-02-09,95.93,96.980003,92.199997,93.839996,9826500,82.173042
2009-02-02,90.599998,97.099998,89.690002,96.139999,10731900,84.187096
2009-01-26,89.769997,94.940002,89.519997,91.650002,10163800,79.821091
2009-01-20,84.760002,91.599998,81.760002,89.489998,15327300,77.939873
2009-01-12,84.57,86.599998,82.110001,84.919998,9636000,73.959702
2009-01-05,86.419998,90.410004,84.25,84.699997,8218400,73.768097
2008-12-29,81.720001,87.589996,79.68,87.370003,6515700,76.093498
2008-12-22,83.269997,83.449997,79.919998,81.330002,4743500,70.833054
2008-12-15,82.510002,87.269997,80.00,83.519997,10025600,72.740395
2008-12-08,82.57,85.879997,78.059998,82.199997,9957000,71.590767
2008-12-01,80.949997,81.50,75.309998,80.589996,10290800,70.18856
2008-11-24,75.739998,82.400002,75.00,81.599998,9922900,71.068207
2008-11-17,79.400002,81.00,69.50,74.879997,14682300,65.21553
2008-11-10,87.989998,88.099998,75.400002,80.330002,11638800,69.96212
2008-11-03,92.639999,94.760002,84.25,86.269997,9403000,75.135468
2008-10-27,80.269997,94.190002,79.010002,92.970001,12107400,80.520584
2008-10-20,92.209999,93.309998,78.82,82.07,11661300,71.080185
2008-10-13,90.440002,99.00,84.349998,90.779999,15009700,78.62384
2008-10-06,101.209999,103.00,83.510002,87.75,17369700,75.999588
2008-09-29,117.440002,118.43,103.029999,103.440002,12561800,89.588577
2008-09-22,118.449997,121.989998,114.139999,119.419998,6946100,103.428726
2008-09-15,115.360001,124.00,110.610001,118.849998,13261400,102.935051
2008-09-08,118.00,119.949997,115.00,118.970001,9356700,103.038986
2008-09-02,122.870003,124.00,113.169998,114.330002,10502900,99.020317
2008-08-25,124.480003,125.449997,121.50,121.730003,6098700,105.429398
2008-08-18,126.489998,127.00,121.550003,124.93,6891400,108.20089
2008-08-11,128.429993,128.429993,124.400002,126.360001,6544800,109.439407
2008-08-04,126.769997,129.970001,126.25,128.809998,6882700,111.561325
2008-07-28,127.690002,129.50,126.129997,126.639999,5739800,109.256355
2008-07-21,129.830002,130.929993,127.260002,128.529999,9190000,110.886917
2008-07-14,123.510002,130.00,119.900002,129.889999,11908500,112.060234
2008-07-07,119.620003,124.50,119.620003,122.120003,9469200,105.356812
2008-06-30,120.029999,120.779999,116.599998,119.540001,8179200,103.130959
2008-06-23,123.00,125.830002,118.260002,120.050003,8381500,103.570953
2008-06-16,125.459999,127.139999,122.360001,122.739998,7073500,105.891701
2008-06-09,125.379997,126.720001,122.860001,126.150002,6260700,108.833618
2008-06-02,128.490005,129.369995,124.739998,124.940002,7061800,107.789719
2008-05-27,124.010002,129.990005,124.00,129.429993,8269800,111.663376
2008-05-19,127.68,128.210007,123.019997,124.199997,6293900,107.151291
2008-05-12,123.82,128.830002,123.559998,127.82,8169700,110.274384
2008-05-05,122.290001,125.169998,120.779999,124.059998,7794600,107.03051
2008-04-28,122.610001,124.43,120.50,123.18,7221200,105.838669
2008-04-21,123.620003,124.900002,122.050003,123.080002,6454700,105.752754
2008-04-14,116.199997,125.00,115.540001,124.400002,13439000,106.886917
2008-04-07,116.370003,119.220001,115.279999,116.00,7797900,99.669472
2008-03-31,114.150002,118.370003,113.339996,115.760002,8475200,99.463264
2008-03-24,118.57,119.790001,114.209999,114.57,8299300,98.440788
2008-03-17,113.00,118.50,113.00,118.330002,9994700,101.671455
2008-03-10,113.120003,118.00,112.690002,115.230003,9718900,99.007881
2008-03-03,113.860001,116.410004,111.800003,113.940002,7901300,97.899483
2008-02-25,107.43,116.629997,107.43,113.860001,10873300,97.830742
2008-02-19,106.940002,109.599998,104.529999,108.07,7823100,92.855865
2008-02-11,103.050003,108.93,102.870003,106.160004,6786500,91.21476
2008-02-04,108.669998,109.00,100.599998,103.269997,8128300,88.731606
2008-01-28,104.440002,109.400002,103.699997,109.080002,7801500,93.366699
