Date,Open,High,Low,Close,Volume,Adj Close
2002-06-03,23.389999,23.449999,20.93,21.400002,86619400,1.429368
2002-06-10,21.48,21.84,18.110001,20.099998,96638600,1.342537
2002-06-17,20.24,20.629999,16.790001,16.85,161462500,1.12546
2002-06-24,16.77,17.82,15.98,17.719999,90680200,1.18357
2002-07-01,17.709999,18.75,16.75,18.74,55534800,1.251698
2002-07-08,18.52,18.789999,16.969999,17.51,73100100,1.169543
2002-07-15,17.43,18.60,14.530001,14.96,145145800,0.999221
2002-07-22,14.75,15.219999,13.799999,14.339999,96222000,0.95781
2002-07-29,14.48,15.509999,14.250001,14.450001,67425600,0.965157
2002-08-05,14.51,15.38,13.97,15.00,62130800,1.001893
2002-08-12,14.900001,16.10,14.540001,15.809999,70801000,1.055995
2002-08-19,15.780001,16.25,15.45,15.73,51358400,1.050652
2002-08-26,15.95,15.95,14.51,14.75,52893100,0.985195
2002-09-03,14.49,14.78,14.049999,14.38,69085400,0.960482
2002-09-09,14.28,14.60,14.049999,14.17,58145300,0.946455
2002-09-16,14.139999,15.09,14.119999,14.87,80100700,0.99321
2002-09-23,14.76,15.190001,14.400001,14.719999,59192500,0.983191
2002-09-30,14.400001,14.629999,13.99,14.030001,60909500,0.937104
2002-10-07,13.97,14.78,13.360001,14.51,83564000,0.969165
2002-10-14,14.549999,15.25,13.900001,14.339999,83257100,0.95781
2002-10-21,14.259999,15.45,14.00,15.420001,55976200,1.029946
2002-10-28,15.55,16.50,14.96,16.360001,68241000,1.092731
2002-11-04,16.50,17.380001,15.52,15.84,66507200,1.057999
2002-11-11,15.74,16.41,15.120001,15.95,45560700,1.065346
2002-11-18,16.190001,16.440001,15.01,16.009998,61530500,1.069354
2002-11-25,16.029999,16.140001,15.27,15.499999,54370000,1.035289
2002-12-02,15.90,16.10,14.50,14.95,72056300,0.998553
2002-12-09,14.94,15.55,14.65,14.79,55615800,0.987867
2002-12-16,14.81,15.190001,13.78,14.139999,64530200,0.944451
2002-12-23,14.16,14.81,14.01,14.059999,20664000,0.939108
2002-12-30,14.08,14.929999,13.84,14.900001,42790600,0.995214
2003-01-06,15.030001,15.38,14.440001,14.719999,67643800,0.983191
2003-01-13,14.900001,14.900001,14.08,14.10,78138200,0.94178
2003-01-21,14.21,14.41,13.559999,13.799999,62645100,0.921742
2003-01-27,13.68,15.10,13.650001,14.36,89949400,0.959146
2003-02-03,14.41,14.929999,14.07,14.15,62633200,0.945119
2003-02-10,14.259999,14.719999,14.059999,14.67,50657300,0.979851
